year,month,day,discharge
1993,1,1,6666.528
1993,1,2,6246.339
1993,1,3,6052.134
1993,1,4,10645.965
1993,1,5,12210.198
1993,1,6,11436.909
1993,1,7,10511.787
1993,1,8,9406.584
1993,1,9,8251.947
1993,1,10,7408.038
1993,1,11,6571.191
1993,1,12,5872.053
1993,1,13,5331.81
1993,1,14,4858.656
1993,1,15,4456.122
1993,1,16,4138.332
1993,1,17,4028.871
1993,1,18,3767.577
1993,1,19,3848.79
1993,1,20,3480.8598
1993,1,21,3249.2262
1993,1,22,3220.272
1993,1,23,3491.4528
1993,1,24,3679.302
1993,1,25,3774.639
1993,1,26,3838.197
1993,1,27,4177.173
1993,1,28,5268.252
1993,1,29,5165.853
1993,1,30,4819.815
1993,1,31,6472.323
1993,2,1,6775.989
1993,2,2,6122.754
1993,2,3,6189.843
1993,2,4,6062.727
1993,2,5,7220.895
1993,2,6,6987.849
1993,2,7,6295.773
1993,2,8,5473.05
1993,2,9,4897.497
1993,2,10,4484.37
1993,2,11,4060.65
1993,2,12,3937.065
1993,2,13,3718.143
1993,2,14,3499.5741
1993,2,15,3454.0242
1993,2,16,3224.1561
1993,2,17,2940.2637
1993,2,18,2701.9212
1993,2,19,2596.3443
1993,2,20,2473.4655
1993,2,21,2299.7403
1993,2,22,2163.0906
1993,2,23,2150.379
1993,2,24,2064.2226
1993,2,25,2005.9611
1993,2,26,1900.0311
1993,2,27,1842.8289
1993,2,28,1811.0499
1993,3,1,1909.2117
1993,3,2,2479.4682
1993,3,3,4720.947
1993,3,4,5578.98
1993,3,5,5925.018
1993,3,6,6288.711
1993,3,7,6369.924
1993,3,8,6511.164
1993,3,9,6648.873
1993,3,10,6775.989
1993,3,11,6557.067
1993,3,12,6052.134
1993,3,13,5720.22
1993,3,14,5077.578
1993,3,15,4763.319
1993,3,16,4618.548
1993,3,17,4509.087
1993,3,18,4081.836
1993,3,19,3930.003
1993,3,20,3877.038
1993,3,21,3884.1
1993,3,22,4099.491
1993,3,23,4929.276
1993,3,24,4833.939
1993,3,25,5070.516
1993,3,26,5783.778
1993,3,27,7051.407
1993,3,28,10847.232
1993,3,29,14854.917
1993,3,30,16164.918
1993,3,31,15398.691
1993,4,1,15960.12
1993,4,2,15292.761
1993,4,3,14410.011
1993,4,4,14297.019
1993,4,5,12732.786
1993,4,6,11659.362
1993,4,7,10614.186
1993,4,8,9618.444
1993,4,9,8774.535
1993,4,10,8036.556
1993,4,11,7418.631
1993,4,12,7174.992
1993,4,13,6514.695
1993,4,14,6090.975
1993,4,15,5713.158
1993,4,16,5925.018
1993,4,17,5900.301
1993,4,18,5759.061
1993,4,19,6567.66
1993,4,20,15476.373
1993,4,21,16419.15
1993,4,22,18082.251
1993,4,23,17174.784
1993,4,24,16518.018
1993,4,25,16634.541
1993,4,26,15607.02
1993,4,27,14159.31
1993,4,28,12782.22
1993,4,29,12287.88
1993,4,30,12612.732
1993,5,1,11846.505
1993,5,2,11267.421
1993,5,3,10970.817
1993,5,4,10278.741
1993,5,5,12213.729
1993,5,6,12121.923
1993,5,7,11754.699
1993,5,8,10660.089
1993,5,9,9752.622
1993,5,10,8700.384
1993,5,11,8018.901
1993,5,12,7125.558
1993,5,13,6659.466
1993,5,14,6059.196
1993,5,15,5617.821
1993,5,16,5070.516
1993,5,17,4660.92
1993,5,18,4371.378
1993,5,19,4127.739
1993,5,20,3912.348
1993,5,21,3615.744
1993,5,22,3484.7439
1993,5,23,3636.93
1993,5,24,3503.8113
1993,5,25,3291.9513
1993,5,26,3068.439
1993,5,27,3021.1236
1993,5,28,2883.4146
1993,5,29,2644.719
1993,5,30,2491.8267
1993,5,31,3205.0887
1993,6,1,3026.4201
1993,6,2,3088.5657
1993,6,3,3411.2991
1993,6,4,3235.8084
1993,6,5,3202.2639
1993,6,6,3041.2503
1993,6,7,2965.6869
1993,6,8,3373.8705
1993,6,9,3640.461
